Ano,Taxa Selic Anual Média
2005,0.1756
2006,0.1413
2007,0.1125
2008,0.1182
2009,0.095
2010,0.0937
2011,0.1104
2012,0.0817
2013,0.0792
2014,0.104
2015,0.1254
2016,0.132
2017,0.0953
2018,0.0624
2019,0.0579
2020,0.0272
2021,0.0435
2022,0.1173
2023,0.1231
2024,0.1038
