Date,Profit
2006-01-10,10698.0
2006-01-11,11601.0
2006-01-12,11428.0
2006-01-13,11546.0
2006-01-16,12183.0
2006-01-17,11768.0
2006-01-18,11454.0
2006-01-19,12507.0
2006-01-20,12344.0
2006-01-23,12281.0
2006-01-24,13049.0
2006-01-26,13663.0
2006-01-27,13471.0
2006-01-30,13891.0
2006-01-31,14032.0
2006-02-01,14134.0
2006-02-02,12953.0
2006-02-03,12911.0
2006-02-06,12970.0
2006-02-07,12211.0
2006-02-08,12148.0
2006-02-09,12531.0
2006-02-10,12624.0
2006-02-13,11763.0
2006-02-14,12276.0
2006-02-15,12888.0
2006-02-16,13905.0
2006-02-17,14071.0
2006-02-20,14188.0
2006-02-21,13815.0
2006-02-22,13895.0
2006-02-23,14054.0
2006-02-24,14259.0
2006-03-01,14827.0
2006-03-02,14775.0
2006-03-03,14889.0
2006-03-06,14003.0
2006-03-07,13072.0
2006-03-08,12938.0
2006-03-09,11961.0
2006-03-10,12540.0
2006-03-13,12442.0
2006-03-14,13190.0
2006-03-15,13893.0
2006-03-16,13806.0
2006-03-17,13698.0
2006-03-20,13853.0
2006-03-21,13047.0
2006-03-22,13500.0
2006-03-23,13123.0
2006-03-24,13226.0
2006-03-27,13290.0
2006-03-28,12331.0
2006-03-29,13141.0
2006-03-30,13426.0
2006-03-31,13601.0
2006-04-03,14366.0
2006-04-04,14451.0
2006-04-05,14702.0
2006-04-06,14934.0
2006-04-07,14575.0
2006-04-10,14124.0
2006-04-11,13550.0
2006-04-12,14076.0
2006-04-13,13731.0
2006-04-17,14111.0
2006-04-18,15221.0
2006-04-19,15587.0
2006-04-20,15424.0
2006-04-24,15400.0
2006-04-25,15387.0
2006-04-26,16059.0
2006-04-27,15400.0
2006-04-28,16012.0
2006-05-02,16666.0
2006-05-03,16569.0
2006-05-04,16625.0
2006-05-05,17066.0
2006-05-08,17164.0
2006-05-09,17628.0
2006-05-10,17401.0
2006-05-11,16496.0
2006-05-12,15872.0
2006-05-15,14920.0
2006-05-16,15065.0
2006-05-17,13940.0
2006-05-18,13456.0
2006-05-19,13382.0
2006-05-22,12146.0
2006-05-23,11759.0
2006-05-24,11441.0
2006-05-25,13218.0
2006-05-26,14155.0
2006-05-29,13794.0
2006-05-30,12062.0
2006-05-31,12179.0
2006-06-01,13397.0
2006-06-02,13591.0
2006-06-05,12389.0
2006-06-06,12207.0
2006-06-07,10913.0
2006-06-08,11087.0
2006-06-09,10724.0
2006-06-12,9204.0
2006-06-13,8497.0
2006-06-14,8590.0
2006-06-16,10048.0
2006-06-19,9546.0
2006-06-20,9281.0
2006-06-21,10196.0
2006-06-22,9966.0
2006-06-23,10310.0
2006-06-26,10280.0
2006-06-27,10025.0
2006-06-28,10484.0
2006-06-29,12136.0
2006-06-30,12280.0
2006-07-03,13006.0
2006-07-04,13016.0
2006-07-05,12027.0
2006-07-06,12182.0
2006-07-07,11751.0
2006-07-10,11790.0
2006-07-11,12203.0
2006-07-12,11879.0
2006-07-13,11003.0
2006-07-14,10999.0
2006-07-17,10515.0
2006-07-18,10779.0
2006-07-19,12434.0
2006-07-20,11496.0
2006-07-21,11159.0
