Date,Profit
2006-02-21,10126.0
2006-02-22,10206.0
2006-02-23,10365.0
2006-02-24,10570.0
2006-03-01,11138.0
2006-03-02,11086.0
2006-03-03,11200.0
2006-03-06,10314.0
2006-03-07,9383.0
2006-03-08,9249.0
2006-03-09,8272.0
2006-03-10,8272.0
2006-03-13,8174.0
2006-03-14,8922.0
2006-03-15,9625.0
2006-03-16,9538.0
2006-03-17,9430.0
2006-03-20,9585.0
2006-03-21,8779.0
2006-03-22,9232.0
2006-03-23,8855.0
2006-03-24,8958.0
2006-03-27,9022.0
2006-03-28,8063.0
2006-03-29,8873.0
2006-03-30,9158.0
2006-03-31,9333.0
2006-04-03,10098.0
2006-04-04,10183.0
2006-04-05,10434.0
2006-04-06,10666.0
2006-04-07,10307.0
2006-04-10,9856.0
2006-04-11,9282.0
2006-04-12,9808.0
2006-04-13,9463.0
2006-04-17,9843.0
2006-04-18,10953.0
2006-04-19,11319.0
2006-04-20,11156.0
2006-04-24,11132.0
2006-04-25,11132.0
2006-04-26,11132.0
2006-04-27,10473.0
2006-04-28,11085.0
2006-05-02,11739.0
2006-05-03,11642.0
2006-05-04,11698.0
2006-05-05,12139.0
2006-05-08,12237.0
2006-05-09,12701.0
2006-05-10,12474.0
2006-05-11,11569.0
2006-05-12,11569.0
2006-05-15,11569.0
2006-05-16,11569.0
2006-05-17,10444.0
2006-05-18,9960.0
2006-05-19,9886.0
2006-05-22,9886.0
2006-05-23,9886.0
2006-05-24,9568.0
2006-05-25,9568.0
2006-05-26,10505.0
2006-05-29,10144.0
2006-05-30,8412.0
2006-05-31,8412.0
2006-06-01,9630.0
2006-06-02,9824.0
2006-06-05,8622.0
2006-06-06,8440.0
2006-06-07,8440.0
2006-06-08,8440.0
2006-06-09,8077.0
2006-06-12,6557.0
2006-06-13,6557.0
2006-06-14,6557.0
2006-06-16,8015.0
2006-06-19,7513.0
2006-06-20,7248.0
2006-06-21,7248.0
2006-06-22,7248.0
2006-06-23,7592.0
2006-06-26,7562.0
2006-06-27,7307.0
2006-06-28,7307.0
2006-06-29,8959.0
2006-06-30,9103.0
2006-07-03,9829.0
2006-07-04,9839.0
2006-07-05,8850.0
2006-07-06,9005.0
2006-07-07,8574.0
2006-07-10,8613.0
2006-07-11,9026.0
2006-07-12,8702.0
2006-07-13,7826.0
2006-07-14,7822.0
2006-07-17,7822.0
2006-07-18,7822.0
2006-07-19,9477.0
2006-07-20,8539.0
2006-07-21,8202.0
2006-07-24,8202.0
2006-07-25,8659.0
2006-07-26,8572.0
2006-07-27,8866.0
2006-07-28,9359.0
2006-07-31,9055.0
2006-08-01,8817.0
2006-08-02,9266.0
2006-08-03,9429.0
2006-08-04,9826.0
2006-08-07,9676.0
2006-08-08,9578.0
2006-08-09,9578.0
2006-08-10,9578.0
2006-08-11,9168.0
2006-08-14,8781.0
2006-08-15,8781.0
2006-08-16,9163.0
2006-08-17,9044.0
2006-08-18,9037.0
2006-08-21,9037.0
2006-08-22,9037.0
2006-08-23,9037.0
2006-08-24,9037.0
2006-08-25,9198.0
2006-08-28,9615.0
2006-08-29,9544.0
2006-08-30,9553.0
2006-08-31,9472.0
2006-09-01,10569.0
2006-09-04,10933.0
2006-09-05,10608.0
2006-09-06,9950.0
2006-09-08,9798.0
2006-09-11,9798.0
2006-09-12,9798.0
2006-09-13,10201.0
2006-09-14,9805.0
2006-09-15,9821.0
2006-09-18,10134.0
2006-09-19,9537.0
2006-09-20,8848.0
2006-09-21,8481.0
2006-09-22,8481.0
2006-09-25,8481.0
2006-09-26,9327.0
2006-09-27,9614.0
2006-09-28,9994.0
2006-09-29,9957.0
2006-10-02,10566.0
2006-10-03,9946.0
2006-10-04,11257.0
2006-10-05,11485.0
2006-10-06,11448.0
2006-10-09,11914.0
2006-10-10,12163.0
2006-10-11,11830.0
2006-10-13,12358.0
2006-10-16,12737.0
2006-10-17,12406.0
2006-10-18,12194.0
2006-10-19,12428.0
2006-10-20,12151.0
2006-10-23,12735.0
2006-10-24,13007.0
2006-10-25,13071.0
2006-10-26,13153.0
2006-10-27,12836.0
2006-10-30,12408.0
2006-10-31,12771.0
2006-11-01,13438.0
2006-11-03,13943.0
2006-11-06,14755.0
2006-11-07,14556.0
2006-11-08,14842.0
2006-11-09,14323.0
2006-11-10,14228.0
2006-11-13,14114.0
2006-11-14,14799.0
2006-11-16,14670.0
2006-11-17,14537.0
2006-11-21,15078.0
2006-11-22,15421.0
2006-11-23,15578.0
2006-11-24,15266.0
2006-11-27,14423.0
2006-11-28,14423.0
2006-11-29,15350.0
2006-11-30,15312.0
2006-12-01,14707.0
2006-12-04,14707.0
2006-12-05,15210.0
2006-12-06,15149.0
2006-12-07,14962.0
2006-12-08,15031.0
2006-12-11,15031.0
2006-12-12,14752.0
2006-12-13,15019.0
2006-12-14,15489.0
2006-12-15,15330.0
2006-12-18,15243.0
2006-12-19,15324.0
2006-12-20,15236.0
2006-12-21,15119.0
2006-12-22,15090.0
2006-12-26,15337.0
2006-12-27,16260.0
2006-12-28,16208.0
2007-01-02,17117.0
2007-01-03,16179.0
2007-01-04,15754.0
2007-01-05,13979.0
2007-01-08,13979.0
2007-01-09,13156.0
2007-01-10,13485.0
2007-01-11,13819.0
2007-01-12,14244.0
2007-01-15,14068.0
2007-01-16,13773.0
2007-01-17,13773.0
2007-01-18,13516.0
2007-01-19,14466.0
2007-01-22,14591.0
2007-01-23,15215.0
2007-01-24,15725.0
2007-01-26,15450.0
2007-01-29,14611.0
2007-01-30,15082.0
2007-01-31,15680.0
2007-02-01,15853.0
2007-02-02,16036.0
2007-02-05,16324.0
2007-02-06,16390.0
2007-02-07,15626.0
2007-02-08,15930.0
2007-02-09,15322.0
2007-02-12,14973.0
2007-02-13,16235.0
2007-02-14,17034.0
2007-02-15,16993.0
2007-02-16,16887.0
2007-02-21,17128.0
2007-02-22,17490.0
2007-02-23,17054.0
2007-02-26,17245.0
2007-02-27,14183.0
2007-02-28,14930.0
2007-03-01,14555.0
2007-03-02,13408.0
2007-03-05,12217.0
2007-03-06,14256.0
2007-03-07,13705.0
2007-03-08,14504.0
2007-03-09,15171.0
2007-03-12,15287.0
2007-03-13,13787.0
2007-03-14,14326.0
2007-03-15,14316.0
2007-03-16,13768.0
2007-03-19,14751.0
2007-03-20,15389.0
2007-03-21,16669.0
2007-03-22,16462.0
2007-03-23,16571.0
2007-03-26,16683.0
2007-03-27,16245.0
2007-03-28,15522.0
2007-03-29,16393.0
2007-03-30,16843.0
2007-04-02,16635.0
2007-04-03,17326.0
2007-04-04,17592.0
2007-04-05,17685.0
2007-04-09,17893.0
2007-04-10,18212.0
2007-04-11,17977.0
2007-04-12,18385.0
2007-04-13,18964.0
2007-04-16,19959.0
2007-04-17,19793.0
2007-04-18,19748.0
2007-04-19,19800.0
2007-04-20,20446.0
2007-04-23,20200.0
2007-04-24,20109.0
2007-04-25,20109.0
2007-04-26,19501.0
2007-04-27,19663.0
2007-04-30,19389.0
2007-05-02,19905.0
2007-05-03,20651.0
2007-05-04,21031.0
2007-05-07,20715.0
2007-05-08,20711.0
2007-05-09,20711.0
2007-05-10,19646.0
2007-05-11,20313.0
2007-05-14,19922.0
2007-05-15,19929.0
2007-05-16,21149.0
2007-05-17,21042.0
2007-05-18,21489.0
2007-05-21,21834.0
2007-05-22,21619.0
2007-05-23,21224.0
2007-05-24,19942.0
2007-05-25,19942.0
2007-05-28,20444.0
2007-05-29,20037.0
2007-05-30,20852.0
2007-05-31,20592.0
2007-06-01,21747.0
2007-06-04,21567.0
2007-06-05,21486.0
2007-06-06,20373.0
2007-06-08,20654.0
2007-06-11,21101.0
2007-06-12,20121.0
2007-06-13,21318.0
2007-06-14,22037.0
2007-06-15,22843.0
2007-06-18,23054.0
2007-06-19,22968.0
2007-06-20,22353.0
2007-06-21,22353.0
2007-06-22,21963.0
2007-06-25,21738.0
2007-06-26,21548.0
2007-06-27,21839.0
2007-06-28,21843.0
2007-06-29,22088.0
2007-07-02,23067.0
2007-07-03,23396.0
2007-07-04,23392.0
2007-07-05,23628.0
2007-07-06,24140.0
2007-07-10,23579.0
2007-07-11,24052.0
2007-07-12,25309.0
2007-07-13,25340.0
2007-07-16,25070.0
2007-07-17,25356.0
2007-07-18,25252.0
2007-07-19,25821.0
2007-07-20,25139.0
2007-07-23,25733.0
2007-07-24,23491.0
2007-07-25,23697.0
2007-07-26,21589.0
2007-07-27,20618.0
2007-07-30,20618.0
2007-07-31,20228.0
2007-08-01,20279.0
2007-08-02,20736.0
2007-08-03,18891.0
2007-08-06,19136.0
2007-08-07,19847.0
2007-08-08,21286.0
2007-08-09,19476.0
2007-08-10,18683.0
2007-08-13,18479.0
2007-08-14,18479.0
